CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
4214,553,0.38
4214,1275,0.62
4214,1945,0.82
4214,303,0.12
4214,603,0.82
4214,1413,0.22
4214,1842,0.62
4214,1696,0.98
4214,1488,0.38
4214,943,0.22
4214,1625,0.22
4214,504,0.98
4214,404,0.98
4214,1342,0.02
4214,376,1.0
4214,1342,1.01
4214,479,0.38
4214,706,1.02
4214,813,0.98
4214,3604,0.82
4214,506,0.18
4214,817,0.82
4214,786,0.92
4214,623,1.0
4214,9097,0.72
4214,22973,0.64
4214,565,0.02
4214,5598,0.98
4214,0.5,0.92
4214,11.8,1.01
4214,920,0.18
4214,217,0.22
4214,0.5,0.72
4214,35.3,0.82
4214,396,0.12
4214,728,98.98
4214,2771,98.98
4214,902,0.02
4214,578,0.82
4214,838,0.82
4214,1313,0.82
4214,864,0.62
4214,1373,0.8
4214,604,0.18
4214,459,0.62
4214,762,0.98
4214,187,0.98
4214,176,0.98
4214,187,0.22
4214,523,0.98
4214,2014,0.98
4214,943,0.92
4214,1932,0.92
4214,381,0.62
4214,266,0.92
